(1) Finding optimal number of max depth for Decision Tree Classifier.
>> Predicted attribute: annual-income
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20733271416567153
Generalization error (10-fold cross-validation): 0.20733271416567153
Generalization error (10-fold cross-validation): 0.2073106010348945
Generalization error (10-fold cross-validation): 0.20733271416567153
Generalization error (10-fold cross-validation): 0.20868161514307196
Generalization error (10-fold cross-validation): 0.20759807173499623
Generalization error (10-fold cross-validation): 0.20762018486577327
Generalization error (10-fold cross-validation): 0.20872584140462605
Generalization error (10-fold cross-validation): 0.20868161514307196
Generalization error (10-fold cross-validation): 0.20868161514307196
Generalization error (10-fold cross-validation): 0.20759807173499623
Generalization error (10-fold cross-validation): 0.20868161514307196
Generalization error (10-fold cross-validation): 0.20868161514307196
Generalization error (10-fold cross-validation): 0.20872584140462605
Generalization error (10-fold cross-validation): 0.20872584140462605
Generalization error (10-fold cross-validation): 0.20872584140462605
Generalization error (10-fold cross-validation): 0.20872584140462605
Generalization error (10-fold cross-validation): 0.20872584140462605
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488
Generalization error (10-fold cross-validation): 0.20865950201229488

(3) Performing two-level 10-10-fold cross validation.
>> Predicted attribute: annual-income
Generalization error (10-10-fold cross-validation) for Baseline Classifier: 0.2478439697492371
Generalization error (10-10-fold cross-validation) for Decision Tree Classifier: 0.1458139843439034
Generalization error (10-10-fold cross-validation) for Regularized Logistic Regression: 0.20868161514307196

(4) Performing paired McNemar tests.
>> Predicted attribute: annual-income
Performing first paired test.
Model A: Regularized Logistic Regression
Model B: Baseline Classifier
Theta: 0.035374751271280126
Confidence interval: (0.026682460520407902, 0.04406440344120499)
p-value: 1.5175383703304869e-15
Performing second paired test.
Model A: Regularized Logistic Regression
Model B: Decision Tree Classifier
Theta: -0.05527304886137519
Confidence interval: (-0.06651975504567964, -0.044019421732748976)
p-value: 7.941358174558772e-22
Performing third paired test.
Model A: Decision Tree Classifier
Model B: Baseline Classifier
Theta: 0.09064780013265532
Confidence interval: (0.07850282930044417, 0.1027794888475575)
p-value: 3.3328787117911933e-48
